bowler,season,matches_played,total_balls,conceded_runs,total_wickets,economy_rate
"JJ Bumrah",2025,12,284,311,18,6.57
"Kuldeep Yadav",2025,14,318,383,15,7.23
"CV Varun",2025,13,300,375,17,7.50
"MJ Santner",2025,13,237,302,9,7.65
"SP Narine",2025,12,270,345,12,7.67
"Noor Ahmad",2025,14,300,385,24,7.70
"WG Jacks",2025,8,84,111,6,7.93
"A Kamboj",2025,8,129,171,8,7.95
"DS Rathi",2025,13,312,415,14,7.98
"KH Pandya",2025,15,276,370,17,8.04
"R Parag",2025,9,120,161,3,8.05
"M Prasidh Krishna",2025,15,354,477,24,8.08
"RA Jadeja",2025,14,227,316,10,8.35
"Arshdeep Singh",2025,16,350,496,21,8.50
"AR Patel",2025,12,216,310,5,8.61
"DL Chahar",2025,14,246,353,11,8.61
"JR Hazlewood",2025,12,264,380,22,8.64
"Suyash Sharma",2025,14,300,433,8,8.66
"TA Boult",2025,16,346,502,22,8.71
"Mohammed Siraj",2025,15,342,497,16,8.72
"PJ Cummins",2025,14,298,435,16,8.76
"V Nigam",2025,13,234,343,11,8.79
"M Jansen",2025,14,283,417,14,8.84
"PWH de Silva",2025,11,246,366,11,8.93
"JC Archer",2025,12,273,408,11,8.97
"R Ashwin",2025,9,186,280,6,9.03
"R Sai Kishore",2025,15,255,386,18,9.08
"HV Patel",2025,13,263,400,16,9.13
"M Theekshana",2025,11,252,384,11,9.14
"B Kumar",2025,14,312,477,17,9.17
"HH Pandya",2025,14,210,323,14,9.23
"Yash Dayal",2025,15,294,453,13,9.24
"Rashid Khan",2025,15,330,508,9,9.24
"M Pathirana",2025,12,251,387,12,9.25
"YS Chahal",2025,13,270,419,16,9.31
"KK Ahmed",2025,14,280,437,15,9.36
"Sandeep Sharma",2025,10,223,353,8,9.50
"MA Starc",2025,11,233,370,14,9.53
"Zeeshan Ansari",2025,10,203,327,5,9.67
"VG Arora",2025,12,255,413,17,9.72
"MM Sharma",2025,8,150,243,2,9.72
"Mukesh Kumar",2025,12,237,385,10,9.75
"Arshad Khan",2025,9,126,206,6,9.81
"Harshit Rana",2025,13,264,434,15,9.86
"Azmatullah Omarzai",2025,8,162,270,7,10.00
"TU Deshpande",2025,10,192,320,9,10.00
"Avesh Khan",2025,13,284,477,13,10.08
"SN Thakur",2025,10,204,352,13,10.35
"Ravi Bishnoi",2025,11,222,390,8,10.54
"Mohammed Shami",2025,9,180,326,6,10.87
