batter,total_runs
"B Sai Sudharsan",758
"SA Yadav",716
"V Kohli",657
"Shubman Gill",650
"MR Marsh",626
"SS Iyer",611
"P Simran Singh",592
"YBK Jaiswal",559
"KL Rahul",545
"Priyansh Arya",545
"JC Buttler",532
"N Pooran",523
"H Klaasen",489
"AK Markram",444
"Abhishek Sharma",439
"RG Sharma",416
"PD Salt",399
"R Parag",396
"AM Rahane",390
"RD Rickelton",388
"TM Head",374
"N Wadhera",368
"S Dube",355
"Ishan Kishan",355
"Shashank Singh",350
"Tilak Varma",342
"A Badoni",329
"Dhruv Jurel",327
"RM Patidar",312
"T Stubbs",306
"Abishek Porel",301
"RA Jadeja",301
"A Raghuvanshi",300
"SE Rutherford",296
"SV Samson",290
"JP Inglis",276
"RR Pant",269
"JM Sharma",261
"AR Patel",259
"Naman Dhir",252
"V Suryavanshi",252
"D Padikkal",247
"SP Narine",246
"SO Hetmyer",245
"A Mhatre",234
"WG Jacks",233
"Aniket Verma",231
"D Brevis",225
"HH Pandya",224
"N Rana",217
