bowler,wickets
"M Prasidh Krishna",25
"Noor Ahmad",24
"JR Hazlewood",22
"TA Boult",22
"Arshdeep Singh",21
"R Sai Kishore",19
"JJ Bumrah",18
"KH Pandya",17
"B Kumar",17
"VG Arora",17
"CV Varun",17
"M Jansen",16
"Mohammed Siraj",16
"PJ Cummins",16
"HV Patel",16
"YS Chahal",16
"Harshit Rana",15
"KK Ahmed",15
"Kuldeep Yadav",15
"DS Rathi",14
"SN Thakur",14
"MA Starc",14
"HH Pandya",14
"Yash Dayal",13
"M Pathirana",13
"Avesh Khan",13
"E Malinga",13
"SP Narine",12
"Mukesh Kumar",12
"M Theekshana",11
"JC Archer",11
"Ashwani Kumar",11
"DL Chahar",11
"V Nigam",11
"JD Unadkat",11
"PWH de Silva",11
"MJ Santner",10
"Harpreet Brar",10
"RA Jadeja",10
"TU Deshpande",9
"Rashid Khan",9
"Sandeep Sharma",9
"Ravi Bishnoi",9
"AD Russell",8
"A Kamboj",8
"Suyash Sharma",8
"Azmatullah Omarzai",8
"R Ashwin",7
"KV Sharma",7
"Zeeshan Ansari",6
