batter,season,innings_played,total_balls,total_runs,strike_rate
"N Pooran",2025,14,267,523,195.88
"Abhishek Sharma",2025,13,225,439,195.11
"Priyansh Arya",2025,18,298,545,182.89
"Naman Dhir",2025,12,138,252,182.61
"JM Sharma",2025,11,147,261,177.55
"SS Iyer",2025,17,345,611,177.10
"PD Salt",2025,13,227,399,175.77
"H Klaasen",2025,13,281,489,174.02
"KK Nair",2025,8,114,198,173.68
"SP Narine",2025,12,145,246,169.66
"SA Yadav",2025,16,426,716,168.08
"R Parag",2025,15,236,396,167.80
"Aniket Verma",2025,12,140,231,165.00
"TM Head",2025,12,227,374,164.76
"MR Marsh",2025,13,380,626,164.74
"HH Pandya",2025,12,137,224,163.50
"JP Inglis",2025,11,170,276,162.35
"JC Buttler",2025,13,329,532,161.70
"P Simran Singh",2025,18,367,592,161.31
"Ashutosh Sharma",2025,9,126,203,161.11
"N Rana",2025,11,135,217,160.74
"SE Rutherford",2025,11,185,296,160.00
"YBK Jaiswal",2025,14,350,559,159.71
"Shubman Gill",2025,15,415,650,156.63
"B Sai Sudharsan",2025,15,485,758,156.29
"AR Patel",2025,11,166,259,156.02
"Dhruv Jurel",2025,13,211,327,154.98
"Ishan Kishan",2025,13,231,355,153.68
"Shashank Singh",2025,14,228,350,153.51
"RK Singh",2025,11,133,204,153.38
"T Stubbs",2025,14,200,306,153.00
"RD Rickelton",2025,14,255,388,152.16
"D Padikkal",2025,10,163,247,151.53
"KL Rahul",2025,14,362,545,150.55
"AK Markram",2025,13,297,444,149.49
"RG Sharma",2025,15,279,416,149.10
"A Badoni",2025,11,221,329,148.87
"AM Rahane",2025,12,264,390,147.73
"Abishek Porel",2025,13,205,301,146.83
"N Wadhera",2025,15,251,368,146.61
"SO Hetmyer",2025,14,168,245,145.83
"RM Patidar",2025,14,216,312,144.44
"V Kohli",2025,15,455,657,144.40
"SV Samson",2025,9,202,290,143.56
"A Raghuvanshi",2025,11,214,300,140.19
"Tilak Varma",2025,13,246,342,139.02
"MS Dhoni",2025,13,144,196,136.11
"RA Jadeja",2025,14,222,301,135.59
"WG Jacks",2025,11,172,233,135.47
"RR Pant",2025,13,202,269,133.17
